sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,,,BEGIN effective_coverages_per_sample,,
PERE_P16-1,5528,19569,3.54,4.572,,,"# For mean_cov_ns, the coverage at each locus is weighted by the number of",,
PERE_P16-10,3454,8315,2.407,2.765,,,# samples present at that locus (i.e. coverage at shared loci counts more).,,
PERE_P16-100,6113,641918,105.009,138.64,,,,,
PERE_P16-101,10,239,23.9,23.197,,,,,
PERE_P16-102,22,230,10.455,11.1,,,,,
PERE_P16-103,10,127,12.7,14.157,,,,,
PERE_P16-104,629,18915,30.072,32.735,,,,,
PERE_P16-108,7,15,2.143,2.105,,,,,
PERE_P16-109,4,73,18.25,11.735,,,,,
PERE_P16-11,904,1212,1.341,1.463,,,,,
PERE_P16-110,394,10954,27.802,30.436,,,,,
PERE_P16-111,68,160,2.353,2.545,,mean coverage:,69.98489189,std dev,105.7176178
PERE_P16-112,18,341,18.944,20.278,,mean weighted coverage:,91.21381923,,
PERE_P16-113,36,36,1,1,,,,,
PERE_P16-114,22,541,24.591,25.05,,,,,
PERE_P16-115,90,121,1.344,1.358,,,,,
PERE_P16-116,4,6,1.5,1.451,,,,,
PERE_P16-117,21,658,31.333,41.782,,,,,
PERE_P16-118,20,409,20.45,20.546,,,,,
PERE_P16-119,720,16479,22.887,23.519,,,,,
PERE_P16-12,186,277,1.489,1.53,,,,,
PERE_P16-120,55,1390,25.273,28.811,,,,,
PERE_P16-122,2,39,19.5,19.961,,,,,
PERE_P16-123,14,329,23.5,23.555,,,,,
PERE_P16-126,18,313,17.389,19.049,,,,,
PERE_P16-127,76,3196,42.053,70.16,,,,,
PERE_P16-128,72,2926,40.639,63.891,,,,,
PERE_P16-129,216,5774,26.731,26.91,,,,,
PERE_P16-13,7028,30742,4.374,5.997,,,,,
PERE_P16-130,13660,5397201,395.11,741.433,,,,,
PERE_P16-131,9612,1118238,116.338,170.422,,,,,
PERE_P16-132,10455,2794740,267.311,432.487,,,,,
PERE_P16-133,8617,1260356,146.264,203.073,,,,,
PERE_P16-135,32,34,1.062,1.001,,,,,
PERE_P16-136,7,1121,160.143,327.249,,,,,
PERE_P16-137,15,2011,134.067,269.257,,,,,
PERE_P16-138,6272,402468,64.169,74.808,,,,,
PERE_P16-14,59,68,1.153,1.19,,,,,
PERE_P16-140,2383,102633,43.069,55.649,,,,,
PERE_P16-141,6373,719894,112.96,150.699,,,,,
PERE_P16-142,10545,3412624,323.625,613.501,,,,,
PERE_P16-143,40,1594,39.85,62.377,,,,,
PERE_P16-144,40,1658,41.45,53.983,,,,,
PERE_P16-146,24,767,31.958,47.488,,,,,
PERE_P16-149,608,8554,14.069,5.966,,,,,
PERE_P16-15,387,476,1.23,1.254,,,,,
PERE_P16-150,46,1246,27.087,28.456,,,,,
PERE_P16-151,1772,58585,33.062,36.77,,,,,
PERE_P16-152,1,15,15,15,,,,,
PERE_P16-153,31,31,1,1,,,,,
PERE_P16-154,7,8,1.143,1.243,,,,,
PERE_P16-155,1,33,33,33,,,,,
PERE_P16-157,209,5925,28.349,30.573,,,,,
PERE_P16-158,407,11802,28.998,29.638,,,,,
PERE_P16-159,6751,571675,84.68,103.911,,,,,
PERE_P16-16,2078,3968,1.91,2.044,,,,,
PERE_P16-160,4853,194957,40.172,45.649,,,,,
PERE_P16-161,7366,645889,87.685,107.887,,,,,
PERE_P16-162,5,89,17.8,18.526,,,,,
PERE_P16-163,528,12943,24.513,28.768,,,,,
PERE_P16-165,1,20,20,20,,,,,
PERE_P16-166,532,19699,37.028,40.617,,,,,
PERE_P16-167,1,140,140,140,,,,,
PERE_P16-168,225,8854,39.351,47.218,,,,,
PERE_P16-170,5369,347205,64.668,74.527,,,,,
PERE_P16-171,253,4797,18.96,20.301,,,,,
PERE_P16-172,1011,21715,21.479,21.884,,,,,
PERE_P16-174,28,145,5.179,5.45,,,,,
PERE_P16-175,999,33647,33.681,35.585,,,,,
PERE_P16-176,15,188,12.533,11.374,,,,,
PERE_P16-177,3669,197389,53.799,63.931,,,,,
PERE_P16-178,2,22,11,19.739,,,,,
PERE_P16-18,970,1222,1.26,1.33,,,,,
PERE_P16-19,1986,3183,1.603,1.797,,,,,
PERE_P16-2,611,833,1.363,1.433,,,,,
PERE_P16-20,27,34,1.259,1.339,,,,,
PERE_P16-207,6088,652472,107.173,136.96,,,,,
PERE_P16-209,1898,49393,26.024,27.786,,,,,
PERE_P16-21,1835,3087,1.682,1.792,,,,,
PERE_P16-210,206,5158,25.039,26.192,,,,,
PERE_P16-213,3362,126269,37.558,40.026,,,,,
PERE_P16-22,5445,21980,4.037,5.502,,,,,
PERE_P16-221,168,248,1.476,1.618,,,,,
PERE_P16-224,593,17963,30.292,32.333,,,,,
PERE_P16-225,5,75,15,14.076,,,,,
PERE_P16-229,1638,56531,34.512,36.777,,,,,
