sample_ID,population
PERE_P16-1,9
PERE_P16-2,9
PERE_P16-3,9
PERE_P16-4,9
PERE_P16-5,10
PERE_P16-6,10
PERE_P16-7,6
PERE_P16-8,11
PERE_P16-9,7
PERE_P16-10,10
PERE_P16-11,4
PERE_P16-12,13
PERE_P16-13,9
PERE_P16-14,11
PERE_P16-15,12
PERE_P16-16,11
PERE_P16-17,3
PERE_P16-18,3
PERE_P16-19,10
PERE_P16-20,10
PERE_P16-21,3
PERE_P16-22,4
PERE_P16-23,3
PERE_P16-24,12
PERE_P16-25,7
PERE_P16-26,8
PERE_P16-27,7
PERE_P16-28,7
PERE_P16-29,10
PERE_P16-30,13
PERE_P16-31,4
PERE_P16-32,8
PERE_P16-33,12
PERE_P16-34,1
PERE_P16-35,12
PERE_P16-36,8
PERE_P16-37,12
PERE_P16-38,4
PERE_P16-39,12
PERE_P16-40,13
PERE_P16-42,8
PERE_P16-43,13
PERE_P16-44,4
PERE_P16-46,4
PERE_P16-47,13
PERE_P16-48,1
PERE_P16-50,4
PERE_P16-52,13
PERE_P16-53,13
PERE_P16-54,8
PERE_P16-55,9
PERE_P16-56,7
PERE_P16-57,1
PERE_P16-58,9
PERE_P16-60,9
PERE_P16-61,11
PERE_P16-62,9
PERE_P16-63,4
PERE_P16-64,12
PERE_P16-65,5
PERE_P16-66,1
PERE_P16-67,8
PERE_P16-68,1
PERE_P16-69,1
PERE_P16-70,12
PERE_P16-71,9
PERE_P16-72,7
PERE_P16-73,6
PERE_P16-74,11
PERE_P16-75,1
PERE_P16-76,1
PERE_P16-77,7
PERE_P16-78,3
PERE_P16-79,1
PERE_P16-80,7
PERE_P16-82,12
PERE_P16-83,3
PERE_P16-84,7
PERE_P16-85,10
PERE_P16-86,8
PERE_P16-87,1
PERE_P16-88,1
PERE_P16-89,8
PERE_P16-90,3
PERE_P16-91,12
PERE_P16-92,5
PERE_P16-93,1
PERE_P16-94,1
PERE_P16-95,9
PERE_P16-96,3
PERE_P16-97,13
PERE_P16-98,7
PERE_P16-99,1
PERE_P16-100,12
PERE_P16-101,1
PERE_P16-102,6
PERE_P16-103,6
PERE_P16-104,1
PERE_P16-105,7
PERE_P16-106,7
PERE_P16-107,7
PERE_P16-108,13
PERE_P16-109,1
PERE_P16-110,11
PERE_P16-111,1
PERE_P16-112,10
PERE_P16-113,1
PERE_P16-114,11
PERE_P16-115,3
PERE_P16-116,1
PERE_P16-117,4
PERE_P16-118,13
PERE_P16-119,13
PERE_P16-120,13
PERE_P16-121,6
PERE_P16-122,13
PERE_P16-123,1
PERE_P16-124,3
PERE_P16-125,13
PERE_P16-126,3
PERE_P16-127,4
PERE_P16-128,4
PERE_P16-129,11
PERE_P16-130,11
PERE_P16-131,11
PERE_P16-132,3
PERE_P16-133,6
PERE_P16-134,4
PERE_P16-135,3
PERE_P16-136,6
PERE_P16-137,4
PERE_P16-138,9
PERE_P16-140,12
PERE_P16-141,11
PERE_P16-142,12
PERE_P16-143,8
PERE_P16-144,11
PERE_P16-145,7
PERE_P16-146,4
PERE_P16-147,3
PERE_P16-148,1
PERE_P16-149,1
PERE_P16-150,13
PERE_P16-151,8
PERE_P16-152,4
PERE_P16-153,3
PERE_P16-154,3
PERE_P16-155,6
PERE_P16-156,13
PERE_P16-157,13
PERE_P16-158,9
PERE_P16-159,6
PERE_P16-160,5
PERE_P16-161,11
PERE_P16-162,3
PERE_P16-163,12
PERE_P16-164,7
PERE_P16-165,13
PERE_P16-166,6
PERE_P16-167,3
PERE_P16-168,8
PERE_P16-169,13
PERE_P16-170,11
PERE_P16-171,1
PERE_P16-172,5
PERE_P16-173,1
PERE_P16-174,4
PERE_P16-175,4
PERE_P16-176,13
PERE_P16-177,11
PERE_P16-178,3
PERE_P16-207,14
PERE_P16-209,14
PERE_P16-210,14
PERE_P16-213,14
PERE_P16-221,14
PERE_P16-224,14
PERE_P16-225,14
PERE_P16-229,14
PERE_P16-230,14
PERE_P16-233,14
PERE_P16-234,14
PERE_P16-238,15
PERE_P16-239,15
PERE_P16-242,15
PERE_P16-244,15
PERE_P16-245,15
PERE_P16-247,15
PERE_P16-248,15
PERE_P16-249,15
PERE_P16-250,15
PERE_P16-252,15
PERE_P16-253,15
PERE_P16-255,15
PERE_P16-256,15
PERE_P16-259,16
