sample_ID,mapped_percent
PERE_P16-10,0.0000
PERE_P16-11,0.0000
PERE_P16-12,0.0000
PERE_P16-130,0.0000
PERE_P16-13,0.0000
PERE_P16-14,0.0000
PERE_P16-15,0.0000
PERE_P16-16,0.0000
PERE_P16-17,0.0000
PERE_P16-18,0.0000
PERE_P16-19,0.0000
PERE_P16-1,0.0000
PERE_P16-20,0.0000
PERE_P16-21,0.0000
PERE_P16-22,0.0000
PERE_P16-23,0.0000
PERE_P16-24,0.0000
PERE_P16-25,0.0000
PERE_P16-26,0.0000
PERE_P16-27,0.0000
PERE_P16-28,0.0000
PERE_P16-29,0.0000
PERE_P16-2,0.0000
PERE_P16-30,0.0000
PERE_P16-31,0.0000
PERE_P16-32,0.0000
PERE_P16-33,0.0000
PERE_P16-34,0.0000
PERE_P16-35,0.0000
PERE_P16-36,0.0000
PERE_P16-37,0.0000
PERE_P16-38,0.0000
PERE_P16-39,0.0000
PERE_P16-3,0.0000
PERE_P16-40,0.0000
PERE_P16-42,0.0000
PERE_P16-43,0.0000
PERE_P16-44,0.0000
PERE_P16-46,0.0000
PERE_P16-47,0.0000
PERE_P16-48,0.0000
PERE_P16-4,0.0000
PERE_P16-50,0.0000
PERE_P16-52,0.0000
PERE_P16-53,0.0000
PERE_P16-54,0.0000
PERE_P16-55,0.0000
PERE_P16-56,0.0000
PERE_P16-57,0.0000
PERE_P16-58,0.0000
PERE_P16-5,0.0000
PERE_P16-6,0.0000
PERE_P16-71,0.0000
PERE_P16-7,0.0000
PERE_P16-82,0.0000
PERE_P16-8,0.0000
PERE_P16-9,0.0000
PERE_P16-131,0.0001
PERE_P16-132,0.0001
PERE_P16-142,0.0001
PERE_P16-311,0.0001
PERE_P16-313,0.0001
PERE_P16-316,0.0001
PERE_P16-317,0.0001
PERE_P16-318,0.0001
PERE_P16-70,0.0001
PERE_P16-141,0.0002
PERE_P16-74,0.0002
PERE_P16-284,0.0003
PERE_P16-304,0.0003
PERE_P16-315,0.0003
PERE_P16-320,0.0003
PERE_P16-340,0.0003
PERE_P16-89,0.0003
PERE_P16-133,0.0004
PERE_P16-60,0.0004
PERE_P16-86,0.0004
PERE_P16-161,0.0005
PERE_P16-277,0.0005
PERE_P16-300,0.0005
PERE_P16-305,0.0005
PERE_P16-91,0.0005
PERE_P16-283,0.0006
PERE_P16-299,0.0006
PERE_P16-310,0.0006
PERE_P16-207,0.0007
PERE_P16-298,0.0007
PERE_P16-314,0.0007
PERE_P16-357,0.0007
PERE_P16-105,0.0008
PERE_P16-312,0.0008
PERE_P16-359,0.0008
PERE_P16-100,0.0009
PERE_P16-170,0.0010
PERE_P16-119,0.0011
PERE_P16-279,0.0011
PERE_P16-332,0.0011
PERE_P16-138,0.0012
PERE_P16-160,0.0013
PERE_P16-295,0.0013
PERE_P16-303,0.0013
PERE_P16-339,0.0013
PERE_P16-95,0.0013
PERE_P16-159,0.0014
PERE_P16-337,0.0016
PERE_P16-294,0.0017
PERE_P16-213,0.0019
PERE_P16-319,0.0020
PERE_P16-285,0.0021
PERE_P16-347,0.0022
PERE_P16-63,0.0022
PERE_P16-281,0.0023
PERE_P16-308,0.0025
PERE_P16-348,0.0029
PERE_P16-286,0.0033
PERE_P16-296,0.0033
PERE_P16-290,0.0034
PERE_P16-65,0.0036
PERE_P16-177,0.0040
