"","sample_ID","PERE_total_reads","phiX_mapped_prop","PERE_mapped_reads","PERE_QC_failed_reads","PERE_mapped_prop","population","added_prop"
"1","PERE_P16-255",335,0.4687,157,178,0.6048,15,1.0735
"2","PERE_P16-225",872,0.2076,181,691,0.8261,14,1.0337
"3","PERE_P16-123",1404,0.4744,666,738,0.5547,1,1.0291
"4","PERE_P16-126",1646,0.3949,650,996,0.6342,3,1.0291
"5","PERE_P16-78",825,0.0606,50,775,0.9592,3,1.0198
"6","PERE_P16-118",1797,0.4791,861,936,0.5394,13,1.0185
"7","PERE_P16-162",540,0.3556,192,348,0.6617,3,1.0173
"8","PERE_P16-331",3031,0.4269,1294,1737,0.5875,14,1.0144
"9","PERE_P16-346",2494,0.5982,1492,1002,0.4152,14,1.0134
"10","PERE_P16-99",3672,0.5286,1941,1731,0.4811,1,1.0097
"11","PERE_P16-150",3838,0.6602,2534,1304,0.3492,13,1.0094
"12","PERE_P16-271",2674,0.2236,598,2076,0.7853,16,1.0089
"13","PERE_P16-164",2649,0.6436,1705,944,0.3649,7,1.0085
"14","PERE_P16-291",1390,0.5432,755,635,0.4635,7,1.0067
"15","PERE_P16-108",1059,0.0689,73,986,0.9368,13,1.0057
"16","PERE_P16-322",1606,0.4776,767,839,0.5271,13,1.0047
"17","PERE_P16-87",646,0.3467,224,422,0.6571,1,1.0038
"18","PERE_P16-85",2774,0.3792,1052,1722,0.6236,10,1.0028
"19","PERE_P16-334",2024,0.7332,1484,540,0.2696,14,1.0028
"20","PERE_P16-84",546,0.1209,66,480,0.8817,7,1.0026
"21","PERE_P16-77",4244,0.0952,404,3840,0.9065,7,1.0017
"22","PERE_P16-135",1946,0.0555,108,1838,0.9459,3,1.0014
"23","PERE_P16-73",1547,0.223,345,1202,0.7784,6,1.0014
"24","PERE_P16-121",1729,0.0023,4,1725,0.9988,6,1.0011
"25","PERE_P16-165",1156,0.0657,76,1080,0.9351,13,1.0008
"26","PERE_P16-353",2792,0.11,307,2485,0.8908,15,1.0008
"27","PERE_P16-174",2610,0.1146,299,2311,0.8859,4,1.0005
"28","PERE_P16-330",17146,0.9473,16243,903,0.0532,14,1.0005
"29","PERE_P16-114",2320,0.5082,1179,1141,0.4922,11,1.0004
"30","PERE_P16-328",1052,0.0856,90,962,0.9146,13,1.0002
"31","PERE_P16-134",1083,0.0028,3,1080,0.9972,4,1
"32","PERE_P16-169",346,0,0,346,1,13,1
"33","PERE_P16-173",906,0.0022,2,904,0.9978,1,1
"34","PERE_P16-38",314,1,314,0,0,4,1
"35","PERE_P16-46",1658,1,1658,0,0,4,1
"36","PERE_P16-50",3012,1,3012,0,0,4,1
"37","PERE_P16-76",1398,0,0,1398,1,1,1
"38","PERE_P16-343",6419,0.6876,4414,2005,0.3122,14,0.9998
"39","PERE_P16-54",11224,0.9997,11221,3,0,8,0.9997
"40","PERE_P16-62",1950,0.2246,438,1512,0.775,9,0.9996
"41","PERE_P16-129",13488,0.8708,11746,1742,0.1286,11,0.9994
"42","PERE_P16-326",1022,0,0,1022,0.999,13,0.999
"43","PERE_P16-301",9141,0.744,6801,2340,0.2548,10,0.9988
"44","PERE_P16-350",34392,0.988,33980,412,0.0106,15,0.9986
"45","PERE_P16-112",1097,0.6244,685,412,0.3741,10,0.9985
"46","PERE_P16-268",1257,0.1822,229,1028,0.8161,16,0.9983
"47","PERE_P16-248",1670,0,0,1670,0.9982,15,0.9982
"48","PERE_P16-335",12223,0.9336,11411,812,0.0645,14,0.9981
"49","PERE_P16-79",504,0.6429,324,180,0.3552,1,0.9981
"50","PERE_P16-152",1516,0.0198,30,1486,0.9782,4,0.998
"51","PERE_P16-292",74620,0.9885,73759,861,0.0095,9,0.998
"52","PERE_P16-56",2339,0.9979,2334,5,0,7,0.9979
"53","PERE_P16-20",1340,0.9978,1337,3,0,10,0.9978
"54","PERE_P16-282",38437,0.9882,37985,452,0.0096,5,0.9978
"55","PERE_P16-324",1414,0.2617,370,1044,0.7361,13,0.9978
"56","PERE_P16-43",342861,0.9978,342096,765,0,13,0.9978
"57","PERE_P16-125",1240,0,0,1240,0.9976,13,0.9976
"58","PERE_P16-333",4742,0.8564,4061,681,0.1411,14,0.9975
"59","PERE_P16-348",314904,0.9945,313185,1719,0.0029,14,0.9974
"60","PERE_P16-97",5643,0.8958,5055,588,0.1016,13,0.9974
"61","PERE_P16-148",768,0,0,768,0.9974,1,0.9974
"62","PERE_P16-286",782254,0.9941,777635,4619,0.0033,5,0.9974
"63","PERE_P16-69",1472,0.0136,20,1452,0.9837,1,0.9973
"64","PERE_P16-327",1202,0.3835,461,741,0.6137,13,0.9972
"65","PERE_P16-90",1046,0.0488,51,995,0.9484,3,0.9972
"66","PERE_P16-325",21221,0.9703,20591,630,0.0267,13,0.997
"67","PERE_P16-34",764483,0.9969,762099,2384,0,1,0.9969
"68","PERE_P16-5",271665,0.9967,270770,895,0,10,0.9967
"69","PERE_P16-95",570825,0.9954,568187,2638,0.0013,9,0.9967
"70","PERE_P16-316",21906103,0.9964,21827836,78267,1e-04,12,0.9965
"71","PERE_P16-323",418082,0.9901,413947,4135,0.0063,13,0.9964
"72","PERE_P16-124",800,0,0,800,0.9963,3,0.9963
"73","PERE_P16-3",193433,0.9962,192696,737,0,9,0.9962
"74","PERE_P16-345",138990,0.9832,136655,2335,0.013,14,0.9962
"75","PERE_P16-4",98089,0.9961,97709,380,0,9,0.9961
"76","PERE_P16-67",1630,0.3294,537,1093,0.6667,8,0.9961
"77","PERE_P16-19",162282,0.996,161635,647,0,10,0.996
"78","PERE_P16-363",2752,0.0254,70,2682,0.9706,16,0.996
"79","PERE_P16-107",79090,0.9774,77306,1784,0.0185,7,0.9959
"80","PERE_P16-15",32126,0.9959,31993,133,0,12,0.9959
"81","PERE_P16-207",1346443,0.9952,1339943,6500,7e-04,14,0.9959
"82","PERE_P16-287",36985,0.9512,35181,1804,0.0447,5,0.9959
"83","PERE_P16-32",7624,0.9959,7593,31,0,8,0.9959
"84","PERE_P16-96",714,0.0504,36,678,0.9455,3,0.9959
"85","PERE_P16-24",589694,0.9957,587130,2564,0,12,0.9957
"86","PERE_P16-55",1288659,0.9954,1282672,5987,0,9,0.9954
"87","PERE_P16-1",1130657,0.9953,1125357,5300,0,9,0.9953
"88","PERE_P16-10",456287,0.9953,454134,2153,0,10,0.9953
"89","PERE_P16-159",1179997,0.9939,1172804,7193,0.0014,6,0.9953
"90","PERE_P16-35",3007761,0.9953,2993651,14110,0,12,0.9953
"91","PERE_P16-318",3745707,0.9951,3727295,18412,1e-04,12,0.9952
"92","PERE_P16-13",1550251,0.9951,1542715,7536,0,9,0.9951
"93","PERE_P16-7",411292,0.995,409230,2062,0,6,0.995
"94","PERE_P16-58",297669,0.9948,296134,1535,0,9,0.9948
"95","PERE_P16-344",2356,0.6388,1505,851,0.3558,14,0.9946
"96","PERE_P16-160",400411,0.9932,397671,2740,0.0013,5,0.9945
"97","PERE_P16-250",10992,0.957,10519,473,0.0373,15,0.9943
"98","PERE_P16-289",36500,0.9803,35780,720,0.0139,6,0.9942
"99","PERE_P16-130",11079669,0.9941,11014748,64921,0,11,0.9941
"100","PERE_P16-209",101968,0.985,100443,1525,0.0089,14,0.9939
"101","PERE_P16-25",77855,0.9939,77378,477,0,7,0.9939
"102","PERE_P16-60",2304509,0.9935,2289492,15017,4e-04,9,0.9939
"103","PERE_P16-281",437438,0.9915,433698,3740,0.0023,4,0.9938
"104","PERE_P16-340",1024873,0.9935,1018255,6618,3e-04,14,0.9938
"105","PERE_P16-317",5384267,0.9936,5349803,34464,1e-04,12,0.9937
"106","PERE_P16-22",1221405,0.9936,1213618,7787,0,4,0.9936
"107","PERE_P16-33",2041404,0.9936,2028345,13059,0,12,0.9936
"108","PERE_P16-70",17643855,0.9935,17528771,115084,1e-04,12,0.9936
"109","PERE_P16-290",57112,0.9902,56551,561,0.0034,7,0.9936
"110","PERE_P16-283",1855943,0.9927,1842338,13605,6e-04,5,0.9933
"111","PERE_P16-339",652839,0.992,647597,5242,0.0013,14,0.9933
"112","PERE_P16-338",178557,0.986,176065,2492,0.0072,14,0.9932
"113","PERE_P16-6",205428,0.9929,203978,1450,0,10,0.9929
"114","PERE_P16-82",21440049,0.9927,21283309,156740,0,12,0.9927
"115","PERE_P16-133",2579033,0.9923,2559226,19807,4e-04,6,0.9927
"116","PERE_P16-276",21343,0.9558,20400,943,0.0367,1,0.9925
"117","PERE_P16-304",3174535,0.9922,3149757,24778,3e-04,10,0.9925
"118","PERE_P16-27",8455,0.9924,8391,64,0,7,0.9924
"119","PERE_P16-279",1750835,0.9912,1735475,15360,0.0011,4,0.9923
"120","PERE_P16-28",491291,0.9923,487487,3804,0,7,0.9923
"121","PERE_P16-299",2223048,0.9916,2204416,18632,6e-04,10,0.9922
"122","PERE_P16-277",2719245,0.9917,2696788,22457,5e-04,3,0.9922
"123","PERE_P16-347",263853,0.99,261207,2646,0.0022,14,0.9922
"124","PERE_P16-63",259262,0.9897,256599,2663,0.0022,4,0.9919
"125","PERE_P16-71",10085300,0.9918,10002457,82843,0,9,0.9918
"126","PERE_P16-300",1271542,0.9912,1260344,11198,5e-04,10,0.9917
"127","PERE_P16-294",659017,0.9899,652349,6668,0.0017,10,0.9916
"128","PERE_P16-175",69372,0.9798,67972,1400,0.0116,4,0.9914
